job_value,avg_salary,min_salary,max_salary,tech_stack
655,3631,2500,4500,"PostgreSQL, SQL, 데이터베이스, 데이터 분석, 사업 전략, 데이터 마트, GitHub, Git, 데이터웨어 하우징"
658,3697,3040,5040,
660,4218,2163,6600,"Git, Script, Spring Boot, Oracle, Spring Framework, MySQL, CSS, HTML, SQL"
661,4600,3400,6000,"Java, FastAPI, Docker, AWS, Nginx, Spring Boot, MySQL, Python, PyTorch"
665,3900,3200,4500,"Kubernetes, Linux, Python"
669,4257,3000,7500,"Git, React, TypeScript, HTML, CSS, Next.js, GitHub, PHP, Laravel"
672,3613,3040,4000,
674,4481,3200,5689,"PostgreSQL, Docker, Kubernetes, VDI, Oracle, Active Directory, 보안, 보안 정책, 보안 관리"
676,3680,3200,4300,"Slack, 테스트 케이스, QA 엔지니어링, iOS, Android, 테스트 계획, Confluence, SQL, JavaScript"
677,4329,3000,6750,"Git, React, TypeScript, HTML, CSS, Next.js, PHP, Laravel, React.js"
678,4440,3000,6750,"Git, React, TypeScript, HTML, CSS, Next.js, PHP, Laravel, React.js"
795,10250,10000,10500,
872,8578,3800,15000,"Spring Boot, Python, AWS, Oracle, Script, Git, MySQL, Docker, MongoDB"
873,7688,3800,12000,"Script, HTML, CSS, Git, Oracle, Spring Framework, Spring Boot, TypeScript, React"
876,8653,7300,11000,
877,9150,7300,10500,"Oracle, CSS, HTML, Java, JavaScript, SQL, Spring Framework"
895,8475,7300,10500,
896,4003,2907,5100,
899,4280,2492,7418,
900,3929,3200,5500,"Java, AWS, JavaScript, MySQL, Spring Framework, TypeScript, MongoDB, 아마존 EC2, 아마존 S3"
939,4050,3500,4800,
1022,4001,3500,4706,
1024,4691,3300,6500,"SQL, Git, NLP, Linux, Docker, Tableau, ML, Scikit-Learn, GitHub"
1025,3540,3000,4000,
1026,4060,3200,4920,"Kubernetes, VDI, PostgreSQL, Oracle, Active Directory, Docker"
1027,4666,3400,7800,
1634,5109,3009,11000,"Redis, MongoDB, AWS, JavaScript, FastAPI, Nest.js, Linux, ML, PostgreSQL"
10110,4593,3300,9000,"Oracle, Docker, GitHub, React, Java, Python, AWS, Node.js, Git"
10111,4009,3100,5500,
10231,4057,3700,4414,
